codigo;componente_curricular;ch
LIC_PED_0083;Fundamentos E Metodologia Do Ensino De História;60.0
LIC_PED_0084;Fundamentos E Metodologia Do Ensino De Ciências;60.0
LIC_PED_0085;Educação Profissional Tecnica De Nível Médio;60.0
LIC_PED_0086;Gestão E Orientação Do Trabalho Pedagógico No Ensino Médio;60.0
LIC_PED_0087;Pesquisa E Prática Aplicada À Gestão Escolar E Não Escolar;60.0
LIC_PED_0088;Educação Do Campo, Indígena E Quilombola;60.0
LIC_PED_0089;Fundamentos E Metodologia Na Educação De Jovens E Adultos;60.0
LIC_PED_0090;Avaliação Da Aprendizagem E Avaliação Institucional;60.0
LIC_PED_0091;Gestão E Planejamento Nas Instituições Escolares E Não Escolares;60.0
LIC_PED_0092;Seminário De Pesquisa;20.0
LIC_PED_0093;Supervisão Escolar;60.0
LIC_PED_0094;Fundamentos E Metodologias Da Educação À Distância;40.0
LIC_PED_0095;História Da Educação Brasileira;60.0
LIC_PED_0096;Leitura E Produção De Textos Acadêmicos;60.0
